"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1270676410500124675","x1406308037413986304",2021-06-19 17:48:58,"internetumpire","My friend's family is undergoing treatment for #COVID19 at Fortis Malar hosp, Chn. Rs.15L more is required for the medical expenses. I request you to #Donate for the treatment &amp; help in any way if possible. Details in thread. @SonuSood @ashwinravi99 @Hanumavihari @DrSenthil_MDRD","Twitter for Android",283,,,,FALSE,FALSE,64,116,,,"COVID19 Donate",,,,,,,,,,,,,"x295026890 x358814014 x571792167 x129455948","SonuSood ashwinravi99 Hanumavihari DrSenthil_MDRD","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/internetumpire/status/1406308037413986304","Heisenberg <U+2622>","","@ChennaiIPL aficionado. Part time bleeding blue, full time spreading #yellove.",,FALSE,14202,949,19,18403,21463,2020-06-10 11:17:53,FALSE,,,,"https://pbs.twimg.com/profile_banners/1270676410500124675/1621969993",,"http://pbs.twimg.com/profile_images/1395062479860817921/n4w8TQK4_normal.jpg"
"x1040863208884580352","x1406279246184583173",2021-06-19 15:54:34,"ShainaTheGinger","I'm in Business Insider! I'm famous! Haha. 
More info on pinned tweet if you read this, and feel like helping me and my family. 
#businessinsider
#unemployment 
#help #alabama #COVID19 #Jobs
#unemployed #unemploymentsupport
#donate #eviction 
#BREAKING 
https://t.co/0Hfuc7qbcB","Twitter for Android",277,,,,FALSE,FALSE,1,1,,,"businessinsider unemployment help alabama COVID19 Jobs unemployed unemploymentsupport donate eviction BREAKING",,"businessinsider.com/meet-americans…","https://t.co/0Hfuc7qbcB","https://www.businessinsider.com/meet-americans-lost-unemployment-benefits-dozen-states-ended-stimulus-2021-6",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ShainaTheGinger/status/1406279246184583173","Shaina","Cullman, AL","artist. mom. ginger. weirdo. she/her. $shainacruz86","https://t.co/pL812COj5w",FALSE,92,734,0,1034,1009,2018-09-15 07:21:42,FALSE,"https://t.co/pL812COj5w","http://shainacruz13.wixsite.com/portfolio",,"https://pbs.twimg.com/profile_banners/1040863208884580352/1609214069",,"http://pbs.twimg.com/profile_images/1343767310247620608/kYkDAvmN_normal.jpg"
"x1050230469256761345","x1406259064409968643",2021-06-19 14:34:22,"EnactusJMI","Enactus JMI started a fundraiser in collaboration with Espoir Foundation to provide relief to those affected by the Covid-19 pandemic.
Donate Today to:
UPI ID: waqas.aliimam08@okicici
GPay/PhonePe/PayTM:
8743905647
@espoir 
#fundraising #donation #COVID19 #savelife #Help #donate https://t.co/8F66eimwJu","Twitter for Android",279,,,,FALSE,FALSE,4,2,,,"fundraising donation COVID19 savelife Help donate",,,,,"http://pbs.twimg.com/media/E4QJKKaVIAYiVDB.jpg","https://t.co/8F66eimwJu","https://twitter.com/EnactusJMI/status/1406259064409968643/photo/1","photo","http://pbs.twimg.com/media/E4QJKKaVIAYiVDB.jpg","https://t.co/8F66eimwJu","https://twitter.com/EnactusJMI/status/1406259064409968643/photo/1",,"x124363856","espoir","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/EnactusJMI/status/1406259064409968643","Enactus Jamia Millia Islamia","Jamia Nagar, New Delhi","A non profit organization of students committed to use entrepreneurial actions to create sustainable livelihoods.","https://t.co/yGMm2E0CCV",FALSE,231,89,1,247,226,2018-10-11 03:43:51,FALSE,"https://t.co/yGMm2E0CCV","https://enactusjmi.org",,"https://pbs.twimg.com/profile_banners/1050230469256761345/1573544230",,"http://pbs.twimg.com/profile_images/1050239087746019328/w6D5GW77_normal.jpg"
"x16205916","x1406228444988403717",2021-06-19 12:32:42,"PatrickErwin","This woman was helping businesses in a town in PA survive the pandemic by coordinating advertising and keeping people informed.

Now the helper needs help - please consider #donating. 
#COVID19 #donate #gofundmedonations #gofundmeplease #GoFundMe 

https://t.co/lejniNzlZV","Twitter Web App",272,,,,FALSE,FALSE,0,0,,,"donating COVID19 donate gofundmedonations gofundmeplease GoFundMe",,"gofund.me/440cd04a","https://t.co/lejniNzlZV","https://gofund.me/440cd04a",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PatrickErwin/status/1406228444988403717","Patrick Erwin","California","That baton was on FIRE. 

he/him",,FALSE,442,316,15,15262,31299,2008-09-09 17:25:25,FALSE,,,,"https://pbs.twimg.com/profile_banners/16205916/1528991338","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1220219489964281856/CiGYkHQ-_normal.jpg"
"x80037219","x1406189240673701888",2021-06-19 09:56:55,"CauseBecause","Please contribute towards 11-year-old Rayna's fundraiser for Save the Children. (A contribution of Rs 5,000 or more will get you a painting made by Rayna specifically for this fundraiser.) @stc_india
https://t.co/9zfzhHMvNG 
#COVID19 #CovidHelp #fundraising #charity #donate","Twitter Web App",274,,,,FALSE,FALSE,0,1,,,"COVID19 CovidHelp fundraising charity donate",,"ketto.org/fundraiser/ray…","https://t.co/9zfzhHMvNG","https://www.ketto.org/fundraiser/rayna-fundraiser",,,,,,,,,"x59091145","stc_india","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CauseBecause/status/1406189240673701888","CauseBecause","New Delhi","The mainstream medium for everything alternative. Engaging #Sustainability and #CSR stakeholders in conversations since 2009. 300k opt-in subscribers","https://t.co/P9V8SzBmQ8",FALSE,1459,1060,55,2220,1975,2009-10-05 14:28:30,FALSE,"https://t.co/P9V8SzBmQ8","http://www.causebecause.com",,"https://pbs.twimg.com/profile_banners/80037219/1529683538","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/720505886519726080/LpQnmgFI_normal.jpg"
"x1356142457222701057","x1406135947884826630",2021-06-19 06:25:09,"wcdreamindia","Thousands of people are losing their lives due to lack of food and no source of income. With your help we have been able to save several lives.

Your contribution matters. 

Keep Donating!

#wcdif #hope #love #humanity #wcdif #india #donate #help #charity #give #ngo #COVID19 https://t.co/Mc9tMgRp7n","Twitter Web App",275,,,,FALSE,FALSE,0,1,,,"wcdif hope love humanity wcdif india donate help charity give ngo COVID19",,,,,"http://pbs.twimg.com/media/E4OZCsvVoAcGVeu.jpg","https://t.co/Mc9tMgRp7n","https://twitter.com/wcdreamindia/status/1406135947884826630/photo/1","photo","http://pbs.twimg.com/media/E4OZCsvVoAcGVeu.jpg","https://t.co/Mc9tMgRp7n","https://twitter.com/wcdreamindia/status/1406135947884826630/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/wcdreamindia/status/1406135947884826630","We Create Dream India Foundation","Delhi","We Create Dream India Foundation is a Delhi based NGO, committed to poverty eradication through constructive and collaborative efforts of its members.","https://t.co/WNUDDo4QTl",FALSE,5,0,0,70,0,2021-02-01 07:29:34,FALSE,"https://t.co/WNUDDo4QTl","http://wcdreamindiafoundation.com/",,"https://pbs.twimg.com/profile_banners/1356142457222701057/1615798146",,"http://pbs.twimg.com/profile_images/1370003693077028875/ykqOPzZ3_normal.jpg"
"x103871791","x1406113398564155394",2021-06-19 04:55:33,"dcseLEAD","A great support by Mr Shankar P. Munenkoppa, MLA Navalgund taluk for the covid relief efforts by Deshpande Foundation.
#Covid_19 #pandemic #dflead #dfindia #Help #donate #coronavirus #Corona #COVID19 #CovidIndia #CovidIndiaHelp https://t.co/75exLuvqVM","Twitter for Android",227,,,,TRUE,FALSE,2,2,,,"Covid_19 pandemic dflead dfindia Help donate coronavirus Corona COVID19 CovidIndia CovidIndiaHelp",,"twitter.com/DFstartups/sta…","https://t.co/75exLuvqVM","https://twitter.com/DFstartups/status/1404324299821834243",,,,,,,,,,,"en","x1404324299821834243","Mr Shankar P. Munenkoppa, MLA Navalgund taluk acknowledging the support of the Deshpande Foundation for the covid relief efforts. 
@DeshpandeFdtn 
#DeshpandeFoundation #COVID19 #actnowriseforcovid #covidprecaution #hubballidharwad #awareness #covid https://t.co/0sO5yqzLw4",2021-06-14 06:26:18,"Twitter Web App",7,2,"x2910646249","DFstartups","Deshpande Startups™",2512,794,3066,"India","Helping Startups Win!  #Deshpandestartups

A GATEWAY TO BHARAT (A destination for outreach to Bharat Ecosystem)",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dcseLEAD/status/1406113398564155394","LEAD Campus","India","Unleashes the leadership potential of youth so that they start proactively ideating, see problems as opportunities, create solutions by being Leaders.","https://t.co/ZRBAtY5lIz",FALSE,9366,2600,63,7527,1954,2010-01-11 14:43:15,FALSE,"https://t.co/ZRBAtY5lIz","http://www.leadcampus.org",,"https://pbs.twimg.com/profile_banners/103871791/1532672589","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/748425937130184705/aCHochhK_normal.jpg"
"x103871791","x1403572197248016387",2021-06-12 04:37:43,"dcseLEAD","LEAD appreciates and is proud of your work. @rakshi1996. 
#grateful #inspiration #proud #leadership #donate #tumkur #dfindia #dflead #COVID19 #pandemic #coronavirus #COVID19India https://t.co/edQpiJ5vgc","Twitter for Android",178,,,,TRUE,FALSE,1,1,,,"grateful inspiration proud leadership donate tumkur dfindia dflead COVID19 pandemic coronavirus COVID19India",,"twitter.com/rakshi1996/sta…","https://t.co/edQpiJ5vgc","https://twitter.com/rakshi1996/status/1403159256413523971",,,,,,,,,"x2150395346","rakshi1996","en","x1403159256413523971","Team #GIVEBACK Tumkur in Tumkur Voice during the Ration Kit Distribution at Ward No.21 Kuvempunagar Tumkur.

#GIVEBACK
It's time to Give back not to Give UP
<U+0C87><U+0CA6><U+0CC1> <U+0C8B><U+0CA3> <U+0CB8><U+0C82><U+0CA6><U+0CBE><U+0CAF><U+0CA6> <U+0CB8><U+0CAE><U+0CAF>, <U+0C95><U+0CC8> <U+0C9A><U+0CC6><U+0CB2><U+0CCD><U+0CB2><U+0CC1><U+0CB5> <U+0CB8><U+0CAE><U+0CAF><U+0CB5><U+0CB2><U+0CCD><U+0CB2>

@PMOIndia
@BPACofficial @dcseLEAD @PMOIndia @tv9kannada @publictvnews @Tumkur https://t.co/SyZjblq6CY",2021-06-11 01:16:50,"Twitter for Android",1,0,"x2150395346","rakshi1996","Rakshith",11,81,14,"Tumkur","",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dcseLEAD/status/1403572197248016387","LEAD Campus","India","Unleashes the leadership potential of youth so that they start proactively ideating, see problems as opportunities, create solutions by being Leaders.","https://t.co/ZRBAtY5lIz",FALSE,9366,2600,63,7527,1954,2010-01-11 14:43:15,FALSE,"https://t.co/ZRBAtY5lIz","http://www.leadcampus.org",,"https://pbs.twimg.com/profile_banners/103871791/1532672589","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/748425937130184705/aCHochhK_normal.jpg"
"x89738751","x1406098468796452875",2021-06-19 03:56:13,"rohit2093","Dear people of Twitter! Here's your Saturday morning reminder to do good. With any amount you donate, we make it possible for children to access social-emotional wellbeing during this pandemic. 

Donate: https://t.co/rUziFJbRw9

#Donate #Mentalhealth #children #Mumbai #COVID19","Twitter Web App",277,,,,FALSE,FALSE,5,2,,,"Donate Mentalhealth children Mumbai COVID19",,"bit.ly/wellbeingdurin…","https://t.co/rUziFJbRw9","http://bit.ly/wellbeingduringcovid",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rohit2093/status/1406098468796452875","Rohit","Mumbai","Educator | Mental Health worker | CEO @apnishala","https://t.co/UdPQjc1t69",FALSE,538,829,13,2508,4277,2009-11-13 16:43:43,FALSE,"https://t.co/UdPQjc1t69","http://www.apnishala.org/covidsupport",,"https://pbs.twimg.com/profile_banners/89738751/1619528373","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1150819474569752576/p3Z1Lz8s_normal.jpg"
"x89738751","x1404076733934956544",2021-06-13 14:02:34,"rohit2093","Support team Apni Shala! Donate here: https://t.co/rUziFJbRw9

#Donate #MentalHealth #MentalWellbeing #COVID19 #Pandemic #Children https://t.co/UlGP6NHL2Q","Twitter Web App",130,,,,TRUE,FALSE,2,0,,,"Donate MentalHealth MentalWellbeing COVID19 Pandemic Children",,"bit.ly/wellbeingdurin… twitter.com/ApniShala/stat…","https://t.co/rUziFJbRw9 https://t.co/UlGP6NHL2Q","http://bit.ly/wellbeingduringcovid https://twitter.com/ApniShala/status/1404047666988736514",,,,,,,,,,,"en","x1404047666988736514","Apni Shala is organising ""online support groups"" and implementing ""call-based emotional check-ins"", in the months of May and June 2021.

Donate. Spread the word. https://t.co/VCq4ad9h5B  

#CommunitiesOfWellbeing #COVID19 #SecondWave #Wellbeing #MentalHealth #Donate #children https://t.co/7Iw4rFMx6P",2021-06-13 12:07:04,"Twitter for Android",4,3,"x2554575876","ApniShala","Apni Shala",550,333,1758,"Mumbai","We work to build stronger emotional intelligence & social skills in children and strengthen educational institutions for promotive and preventive mental health.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rohit2093/status/1404076733934956544","Rohit","Mumbai","Educator | Mental Health worker | CEO @apnishala","https://t.co/UdPQjc1t69",FALSE,538,829,13,2508,4277,2009-11-13 16:43:43,FALSE,"https://t.co/UdPQjc1t69","http://www.apnishala.org/covidsupport",,"https://pbs.twimg.com/profile_banners/89738751/1619528373","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1150819474569752576/p3Z1Lz8s_normal.jpg"
