"","text"
"1","#Gujarat reports 455 new #COVID19 cases, 6 deaths, and 1063 recoveries in the last 24 hours 
#coronavirus #TV9News https://t.co/n1mOpyomt0"
"2","Delhi CM @ArvindKejriwal: Restaurants will be allowed to open at 50% seating capacity; we will observe this for one week, if cases increase, stricter restrictions will be imposed; otherwise, it will be continued

#COVID19 #TV9News"
"3","#COVID19 norms flouted at various markets in Surat
#Gujarat #TV9News https://t.co/jaGpCYRtgX"
"4","Kutch: Covid vaccine jab given to folk singer Geeta Rabari at home, notice issued to health worker 
#COVID19 #Gujarat #TV9News https://t.co/zOhNbyG7Dv"
"5","I have visited Hassan and Shivamogga districts and reviewed development works and #COVID19 situation there. Former PM HD Deve Gowda and I will lay the foundation stone for the Hassan airport soon: #Karnataka CM BS Yediyurappa 
#TV9News https://t.co/OkGT47zjiX"
"6","Post 2nd wave, 70% #Ahmedabad population have Covid antibodies
#COVID19 #Gujarat #TV9News https://t.co/SttboIphKM"
"7","CM @VijayRupaniBJP greets health workers as #Gujarat conducts the highest number of vaccinations per million.

#TV9News #COVID19 https://t.co/jvHofmTrMt"
"8","With 80,834 new #COVID19 cases, India reported its lowest daily case in the last 71 days. The daily positivity rate is at 4.25%, less than 10% for 20 consecutive days. The recovery rate increases to 95.26%, in last 24 hours 1,32,062 recoveries were recorded: Union Health Ministry"
"9","#Assam government directs fully vaccinated government employees to attend office from June 14, following all #COVID19 protocols
#TV9News"
"10","Over 2 crore people vaccinated against Coronavirus in #Gujarat so far.

#TV9News #COVID19 https://t.co/TXwNAF98oB"
"11","To get all latest news updates on #coronavirus, subscribe YouTube channel of Tv9 Gujarati and don't forget to click bell icon: https://t.co/bSxEDh12gh 

#CoronavirusUpdate #COVID19 #IndiaFightsCOVID19 #StayStrongIndia #GujaratFightsCovid19  #TV9News https://t.co/7mYOrsuFqe"
"12","India reports 80,834 new #COVID19 cases, 1,32,062 patient discharges, and 3,303 deaths in the last 24 hours, as per Union Health Ministry.

Total cases: 2,94,39,989
Total discharges: 2,80,43,446  
Death toll: 3,70,384
Active cases: 10,26,159  

Total vaccination: 25,31,95,048"
"13","Only two cases of #COVID19 have been reported in #Dharavi today. There are a total of 13 active cases in the area: Brihanmumbai Municipal Corporation 
#TV9News"
"14","#Ahmedabad branch of IMA hold meeting over a possible third #covid19 wave #TV9News https://t.co/aQlpBly6Rk"
"15","VIP treatment to Geeta Rabari? #Kutch DDO serves notice to health worker #COVID19 #Covidvaccine #TV9News https://t.co/fVOrfJ4O8G"
"16","AMC slams notice to hospitals for overcharging COVID patients 
#Ahmedabad #COVID19 #Gujarat #TV9News https://t.co/xOL3DOAkK5"
"17","Dwarka: People throng Gomtighat as govt relaxes Covid restrictions
#COVID19 #Gujarat #TV9News https://t.co/KokwR2CDZA"
"18","After 5 am tomorrow, all activities will be allowed except some activities that will be prohibited and some activities that will be done in a restricted manner. A detailed order will be issued: Delhi CM Arvind Kejriwal
#COVID19 #TV9News https://t.co/biSGLPpodR"
"19","#Gujarat: Folk singer Geeta Rabri was given #COVID19 vaccine at her home in Kutch district

""A notice has been issued to the healthcare worker who administered the vaccine to her. Further action will be taken based on her response,"" says District Development Officer Bhavya Verma https://t.co/OUhuE1MSKH"
"20","Youth arrives in tri-colour paint for #vaccination to spread awareness #Ahmedabad #COVID19 https://t.co/sLrFVH7ZoV"
"21","#Covid19 norms go for a toss after Fans, players celebrate cricket match victory at #Surat #TV9News https://t.co/6OTMPCUWRA"
"22","Prime Minister Narendra Modi sought the G7's support for the proposal moved at the WTO by India and South Africa, for a TRIPS (The Agreement on Trade-Related Aspects of Intellectual Property Rights) waiver on #COVID19 related technologies.

(Image Courtesy: MEA)
#TV9News https://t.co/j1VjYU5jU1"
