"","country","scientloc","scientglob"
"1","Australia","7.31641791044776","5.61940298507463"
"2","Brazil","8.40596330275229","8.61123853211009"
"3","Croatia","6.19024390243902","6.60975609756098"
"4","Finland","6.43867924528302","5.69483568075117"
"5","France","6.1965811965812","5.82327586206897"
"6","Germany","5.90909090909091","4.77818181818182"
"7","Italy","5.78492462311558","5.31344792719919"
"8","Netherlands","6.13900414937759","6.03950103950104"
"9","New Zealand","6.89473684210526","4.65957446808511"
"10","Portugal","7.34520547945205","7.22465753424658"
"11","United Kingdom","5.81956315289649","5.95152091254753"
"12","United States","7.02018779342723","6.78776470588235"
