"","word","sentiment","n"
"1","limit","negative",1800
"2","virus","negative",906
"3","positive","positive",846
"4","death","negative",809
"5","safe","positive",679
"6","free","positive",657
"7","support","positive",632
"8","risk","negative",574
"9","infections","negative",452
"10","recovery","positive",419
"11","died","negative",411
"12","infection","negative",351
"13","protect","positive",350
"14","lost","negative",347
"15","symptoms","negative",338
"16","love","positive",314
"17","breaking","negative",313
"18","infected","negative",306
"19","toll","negative",298
"20","crash","negative",277
"21","protection","positive",277
"22","helping","positive",274
"23","top","positive",262
"24","crisis","negative",259
"25","effective","positive",258
"26","legendary","positive",254
"27","emergency","negative",232
"28","issues","negative",225
"29","led","positive",216
"30","trump","positive",203
"31","loss","negative",202
"32","outbreak","negative",200
"33","happy","positive",191
"34","fresh","positive",190
"35","critical","negative",188
"36","hard","negative",187
"37","healthy","positive",180
"38","win","positive",168
"39","relief","positive",159
"40","wellbeing","positive",156
"41","chaos","negative",154
"42","dead","negative",154
"43","supporting","positive",153
"44","peace","positive",149
"45","rip","negative",146
"46","severe","negative",146
"47","struggling","negative",144
"48","issue","negative",137
"49","patient","positive",136
"50","ready","positive",136
"51","killed","negative",131
"52","die","negative",129
"53","lead","positive",128
"54","sick","negative",126
"55","bad","negative",124
"56","rapid","positive",123
"57","equitable","positive",122
"58","super","positive",120
"59","gold","positive",118
"60","progress","positive",117
"61","strain","negative",116
"62","vulnerable","negative",111
"63","epidemic","negative",110
"64","proud","positive",110
"65","concerns","negative",109
"66","guidance","positive",109
"67","negative","negative",109
"68","significant","positive",109
"69","cancer","negative",108
"70","concern","negative",107
"71","dies","negative",107
"72","fall","negative",107
"73","loved","positive",106
"74","slow","negative",106
"75","dying","negative",105
"76","strong","positive",105
"77","fraud","negative",104
"78","isolation","negative",101
"79","deadly","negative",100
"80","fear","negative",100
"81","dangerous","negative",99
"82","fast","positive",99
"83","lack","negative",98
"84","kill","negative",96
"85","benefits","positive",95
"86","fake","negative",94
"87","amazing","positive",93
"88","poor","negative",93
"89","trust","positive",93
"90","innovation","positive",92
"91","sad","negative",92
"92","lies","negative",91
"93","miss","negative",91
"94","threat","negative",89
"95","decline","negative",88
"96","illness","negative",87
"97","worst","negative",87
"98","elite","positive",86
"99","skill","positive",84
"100","freedom","positive",83
"101","fans","positive",82
"102","warning","negative",82
"103","worse","negative",82
"104","helped","positive",81
"105","wise","positive",81
"106","wrong","negative",81
"107","leading","positive",80
"108","pride","positive",80
"109","recover","positive",79
"110","suffering","negative",78
"111","risks","negative",77
"112","suffered","negative",77
"113","anxiety","negative",76
"114","difficult","negative",75
"115","benefit","positive",74
"116","easy","positive",73
"117","boost","positive",72
"118","damage","negative",72
"119","beautiful","positive",70
"120","beauty","positive",69
"121","denied","negative",69
"122","success","positive",69
"123","celebrate","positive",67
"124","enjoy","positive",66
"125","inspiration","positive",66
"126","concerned","negative",64
"127","discrimination","negative",64
"128","grateful","positive",64
"129","improve","positive",64
"130","rich","positive",64
"131","stress","negative",64
"132","crime","negative",63
"133","break","negative",62
"134","faster","positive",62
"135","worth","positive",62
"136","fever","negative",60
"137","survival","positive",60
"138","urgent","negative",60
"139","contagious","negative",59
"140","treasure","positive",58
"141","worry","negative",58
"142","delay","negative",57
"143","pain","negative",57
"144","conspiracy","negative",56
"145","ease","positive",56
"146","fun","positive",56
"147","lying","negative",56
"148","smart","positive",56
"149","safely","positive",55
"150","disaster","negative",54
"151","limited","negative",54
"152","respect","positive",54
"153","clean","positive",53
"154","inevitable","negative",53
"155","losing","negative",53
"156","warned","negative",53
"157","conflict","negative",52
"158","cold","negative",51
"159","congratulations","positive",51
"160","easing","positive",51
"161","encourage","positive",51
"162","leak","negative",51
"163","proven","positive",51
"164","supported","positive",51
"165","defeat","positive",50
"166","demise","negative",50
"167","scam","negative",50
"168","contribution","positive",49
"169","hot","positive",49
"170","scams","negative",49
"171","cloud","negative",48
"172","failure","negative",48
"173","fine","positive",48
"174","corruption","negative",47
"175","missed","negative",47
"176","poverty","negative",47
"177","confidence","positive",46
"178","cure","positive",46
"179","devastating","negative",46
"180","isolate","negative",46
"181","shame","negative",46
"182","failed","negative",45
"183","stronger","positive",45
"184","proper","positive",44
"185","unable","negative",44
"186","debt","negative",43
"187","excellent","positive",43
"188","expire","negative",43
"189","lie","negative",43
"190","smell","negative",43
"191","successfully","positive",43
"192","killing","negative",42
"193","wonderful","positive",42
"194","displaced","negative",41
"195","properly","positive",41
"196","slowly","negative",41
"197","afford","positive",40
"198","boom","positive",40
"199","collapse","negative",40
"200","effectiveness","positive",40
"201","fantastic","positive",40
"202","incredible","positive",40
