"","PSS10_avg","Lon_avg","SPS_avg","ext","Dem_gender"
"1",3.6,4.33333333333333,4.16666666666667,3.66666666666667,"Female"
"2",1.9,1.66666666666667,3.66666666666667,2.66666666666667,"Male"
"3",3,3,3.83333333333333,3.66666666666667,"Female"
"4",3,3,2.66666666666667,2.66666666666667,"Female"
"5",2.8,3,3.5,4,"Male"
"6",3,NA,NA,NA,"Female"
"7",3.1,3,4,3.33333333333333,"Female"
"8",3.2,4.33333333333333,4.33333333333333,4,"Male"
"9",3.3,4.33333333333333,4.33333333333333,5.66666666666667,"Female"
"10",1.7,1,4.33333333333333,3.33333333333333,"Male"
"11",3.7,4.33333333333333,3.5,2.33333333333333,"Female"
"12",2.2,1,3.66666666666667,4,"Female"
"13",2.7,2.66666666666667,4.33333333333333,2.33333333333333,"Female"
"14",3.6,4,4.16666666666667,2.66666666666667,"Female"
"15",1.8,1,3.83333333333333,3,"Female"
"16",1.7,2.33333333333333,4.33333333333333,4.33333333333333,"Male"
"17",3.6,4.33333333333333,4.16666666666667,4.33333333333333,"Female"
"18",2.4,1.33333333333333,4.16666666666667,2.66666666666667,"Female"
"19",2.2,1.66666666666667,4.16666666666667,2.66666666666667,"Female"
"20",1.9,2,3.66666666666667,2,"Male"
"21",1.7,1.66666666666667,4,4.66666666666667,"Female"
"22",1.7,1,4,3.66666666666667,"Female"
"23",1.9,2,4.16666666666667,5,"Male"
"24",1.9,3,4.33333333333333,4.66666666666667,"Female"
"25",3.3,5,4.33333333333333,5.33333333333333,"Female"
"26",3.2,4.33333333333333,3.16666666666667,1.33333333333333,"Male"
"27",1.6,2.33333333333333,4.33333333333333,3.66666666666667,"Female"
"28",1.8,2.33333333333333,4.5,3.33333333333333,"Female"
"29",1.6,2,3.83333333333333,4.33333333333333,"Male"
"30",3.2,4,3.33333333333333,4,"Male"
"31",1,1,4.33333333333333,4,"Female"
"32",3.7,1,4.66666666666667,4,"Female"
"33",3.3,3.33333333333333,4.16666666666667,2,"Male"
"34",2.1,1,4.5,3.66666666666667,"Female"
"35",3.2,3.66666666666667,3.5,5.33333333333333,"Female"
"36",3.6,3.66666666666667,3.33333333333333,2.66666666666667,"Female"
"37",2.8,3,3.5,3,"Female"
"38",3.7,3,4.16666666666667,5,"Female"
"39",2.33333333333333,1.66666666666667,4,4.33333333333333,"Female"
"40",1.7,1,3.83333333333333,3.66666666666667,"Female"
"41",1.8,1.66666666666667,4,5,"Male"
"42",1.3,1,4,2.33333333333333,"Female"
"43",3.2,4,3.83333333333333,4.66666666666667,"Female"
"44",2.9,3.33333333333333,4.33333333333333,4.33333333333333,"Female"
"45",1.8,2.33333333333333,4.33333333333333,4.33333333333333,"Female"
"46",2.4,2,4,3,"Female"
"47",2,2,3,2,"Female"
"48",1.7,2.33333333333333,4,3.33333333333333,"Female"
"49",2.6,2.66666666666667,4,2.66666666666667,"Female"
"50",3.7,3.33333333333333,4.16666666666667,3.33333333333333,"Female"
"51",2.9,3,4.33333333333333,3.66666666666667,"Female"
"52",2.7,3.33333333333333,4.33333333333333,3,"Female"
"53",1.88888888888889,1,3,3.66666666666667,"Male"
"54",2.9,4,4,4,"Female"
"55",2.1,1.66666666666667,3.16666666666667,5.33333333333333,"Male"
"56",2.9,3,3.16666666666667,2.66666666666667,"Male"
"57",2.8,2,4.33333333333333,5,"Female"
"58",1.6,1.33333333333333,4.16666666666667,2.66666666666667,"Female"
"59",1.7,2.33333333333333,4,4,"Male"
"60",3.8,3.33333333333333,4,2.66666666666667,"Male"
"61",1.5,1.33333333333333,4,1.66666666666667,"Female"
"62",2.7,3.33333333333333,4,4.33333333333333,"Male"
"63",2.5,2.33333333333333,3.83333333333333,4.33333333333333,"Female"
"64",3.4,2.66666666666667,4.5,5,"Male"
"65",1.2,2,3.83333333333333,3,"Female"
"66",3,3.33333333333333,3.5,4.33333333333333,"Female"
"67",1.5,2,4.16666666666667,5,"Female"
"68",1.2,2,4,2,"Male"
"69",2.1,1.33333333333333,4.33333333333333,5,"Female"
"70",2,2,4.33333333333333,4,"Female"
"71",2.7,2,3.66666666666667,2,"Male"
"72",3.4,3,3.83333333333333,2.33333333333333,"Female"
"73",1.9,1,4.33333333333333,4,"Female"
"74",4,2.66666666666667,3,2,"Female"
"75",2.7,2.33333333333333,4.5,4,"Male"
"76",4.7,4.66666666666667,3.83333333333333,3,"Female"
"77",1.6,1.66666666666667,4.33333333333333,3,"Female"
"78",3.6,1.66666666666667,4.33333333333333,5.33333333333333,"Female"
"79",3.2,3,4.16666666666667,4.66666666666667,"Female"
"80",2.33333333333333,2,4.75,4.33333333333333,"Female"
"81",2.1,1.66666666666667,4,5.66666666666667,"Female"
"82",2.4,2.66666666666667,4.33333333333333,5.33333333333333,"Male"
"83",2.5,3,3.5,3,"Female"
"84",1.55555555555556,1,4.33333333333333,2.66666666666667,"Male"
"85",3.4,3,3.33333333333333,3,"Female"
"86",3.7,4.66666666666667,4.66666666666667,3.66666666666667,"Female"
"87",2.1,1.33333333333333,4.33333333333333,4.33333333333333,"Female"
"88",3.6,2.66666666666667,3.66666666666667,4,"Male"
