"","word","sentiment","n"
"1","trump","positive",603
"2","crisis","negative",396
"3","virus","negative",352
"4","death","negative",323
"5","support","positive",270
"6","positive","positive",261
"7","free","positive",176
"8","outbreak","negative",171
"9","safe","positive",152
"10","risk","negative",144
"11","died","negative",113
"12","dies","negative",99
"13","suffering","negative",99
"14","recovery","positive",97
"15","toll","negative",97
"16","relief","positive",96
"17","dead","negative",95
"18","protect","positive",94
"19","top","positive",92
"20","die","negative",91
"21","stupid","negative",87
"22","hard","negative",81
"23","infected","negative",78
"24","lost","negative",77
"25","forbid","negative",74
"26","needless","negative",74
"27","love","positive",72
"28","symptoms","negative",71
"29","bad","negative",70
"30","emergency","negative",68
"31","guidance","positive",68
"32","fear","negative",67
"33","hoax","negative",66
"34","kill","negative",66
"35","infection","negative",64
"36","sick","negative",64
"37","lack","negative",61
"38","racist","negative",61
"39","helping","positive",59
"40","issues","negative",58
"41","breaking","negative",57
"42","trust","positive",57
"43","happy","positive",56
"44","wrong","negative",55
"45","worst","negative",54
"46","sad","negative",53
"47","threat","negative",53
"48","patient","positive",52
"49","lies","negative",51
"50","fall","negative",50
"51","murder","negative",50
"52","shit","negative",50
"53","lie","negative",49
"54","vulnerable","negative",49
"55","ready","positive",48
"56","amazing","positive",47
"57","dying","negative",47
"58","failed","negative",46
"59","blame","negative",45
"60","effective","positive",45
"61","fucking","negative",45
"62","strong","positive",45
"63","cancer","negative",44
"64","fast","positive",43
"65","infections","negative",43
"66","killing","negative",43
"67","lead","positive",43
"68","super","positive",43
"69","cure","positive",42
"70","worse","negative",41
"71","delayed","negative",40
"72","risks","negative",40
"73","slow","negative",40
"74","critical","negative",39
"75","hell","negative",39
"76","killed","negative",39
"77","urgent","negative",39
"78","concerns","negative",38
"79","fuck","negative",38
"80","poor","negative",38
"81","conspiracy","negative",37
"82","issue","negative",37
"83","leading","positive",36
"84","negative","negative",36
"85","rail","negative",36
"86","supporting","positive",36
"87","innovation","positive",35
"88","nice","positive",35
"89","powerful","positive",35
"90","proud","positive",35
"91","easing","positive",34
"92","freedom","positive",34
"93","hate","negative",33
"94","worth","positive",33
"95","fake","negative",32
"96","isolation","negative",32
"97","wow","positive",32
"98","lying","negative",31
"99","protection","positive",31
"100","refund","positive",31
"101","epidemic","negative",30
"102","smart","positive",30
"103","success","positive",30
"104","difficult","negative",29
"105","failure","negative",29
"106","healthy","positive",29
"107","incompetent","negative",29
"108","loss","negative",29
"109","approval","positive",28
"110","attack","negative",28
"111","attacks","negative",28
"112","disaster","negative",28
"113","false","negative",28
"114","miss","negative",28
"115","illness","negative",27
"116","inspire","positive",27
"117","salute","positive",27
"118","win","positive",27
"119","doom","negative",26
"120","gain","positive",26
"121","safely","positive",26
"122","talent","positive",26
"123","brighter","positive",25
"124","dangerous","negative",25
"125","easy","positive",25
"126","panic","negative",25
"127","idiot","negative",24
"128","limited","negative",24
"129","misleading","negative",24
"130","polluters","negative",24
"131","rip","negative",24
"132","benefit","positive",23
"133","damn","negative",23
"134","disgusting","negative",23
"135","ease","positive",23
"136","fair","positive",23
"137","racism","negative",23
"138","worried","negative",23
"139","worry","negative",23
"140","debt","negative",22
"141","evil","negative",22
"142","hot","positive",22
"143","warning","negative",22
"144","wild","negative",22
"145","correct","positive",21
"146","corruption","negative",21
"147","cruel","negative",21
"148","deadly","negative",21
"149","distract","negative",21
"150","faith","positive",21
"151","incredible","positive",21
"152","pretty","positive",21
"153","propaganda","negative",21
"154","severe","negative",21
"155","struggling","negative",21
"156","abuse","negative",20
"157","celebrate","positive",20
"158","cruelty","negative",20
"159","damage","negative",20
"160","depression","negative",20
"161","excellent","positive",20
"162","fraud","negative",20
"163","progress","positive",20
"164","recover","positive",20
"165","break","negative",19
"166","enjoy","positive",19
"167","grateful","positive",19
"168","joke","negative",19
"169","pain","negative",19
"170","prison","negative",19
"171","stress","negative",19
"172","successful","positive",19
"173","doubt","negative",18
"174","excuse","negative",18
"175","fears","negative",18
"176","fresh","positive",18
"177","idiots","negative",18
"178","kills","negative",18
"179","liar","negative",18
"180","liberty","positive",18
"181","respect","positive",18
"182","rich","positive",18
"183","warned","negative",18
"184","wonderful","positive",18
"185","angry","negative",17
"186","appeal","positive",17
"187","concerned","negative",17
"188","excited","positive",17
"189","fantastic","positive",17
"190","funny","negative",17
"191","led","positive",17
"192","loved","positive",17
"193","missed","negative",17
"194","nonsense","negative",17
"195","proper","positive",17
"196","scared","negative",17
"197","shame","negative",17
"198","unable","negative",17
"199","victory","positive",17
"200","weak","negative",17
"201","accurate","positive",16
"202","afraid","negative",16
"203","anxiety","negative",16
"204","boost","positive",16
"205","brilliant","positive",16
"206","clean","positive",16
"207","commitment","positive",16
"208","danger","negative",16
"209","improve","positive",16
"210","incompetence","negative",16
"211","innovative","positive",16
"212","limit","negative",16
"213","lose","negative",16
"214","losing","negative",16
"215","pathetic","negative",16
"216","protective","positive",16
"217","wellbeing","positive",16
"218","advantage","positive",15
"219","beautiful","positive",15
"220","delay","negative",15
"221","failing","negative",15
"222","grim","negative",15
"223","horrible","negative",15
"224","inevitable","negative",15
"225","protest","negative",15
"226","recession","negative",15
"227","sadly","negative",15
"228","waste","negative",15
"229","awful","negative",14
"230","brave","positive",14
"231","comfort","positive",14
"232","creative","positive",14
"233","falling","negative",14
"234","fault","negative",14
"235","fine","positive",14
"236","fool","negative",14
"237","gratitude","positive",14
"238","ignorant","negative",14
"239","inequality","negative",14
"240","mistake","negative",14
"241","negligence","negative",14
"242","poverty","negative",14
"243","rapid","positive",14
"244","spite","negative",14
"245","terrible","negative",14
"246","tough","positive",14
"247","trusted","positive",14
"248","abruptly","negative",13
"249","contribution","positive",13
"250","crime","negative",13
"251","delays","negative",13
"252","dumb","negative",13
"253","easier","positive",13
"254","extraordinary","positive",13
"255","failures","negative",13
"256","glad","positive",13
"257","heartbreaking","negative",13
"258","helpful","positive",13
"259","honor","positive",13
"260","ignorance","negative",13
"261","mad","negative",13
"262","peace","positive",13
"263","perfect","positive",13
"264","resilient","positive",13
"265","significant","positive",13
"266","suffer","negative",13
"267","supports","positive",13
"268","vice","negative",13
"269","benefits","positive",12
"270","bitch","negative",12
"271","bullshit","negative",12
"272","complex","negative",12
"273","contagious","negative",12
"274","courage","positive",12
"275","criminal","negative",12
"276","criticizing","negative",12
"277","discrimination","negative",12
"278","eased","positive",12
"279","holy","positive",12
"280","kindness","positive",12
"281","moron","negative",12
"282","protests","negative",12
"283","scams","negative",12
"284","solidarity","positive",12
"285","stronger","positive",12
"286","stuck","negative",12
"287","supreme","positive",12
"288","timely","positive",12
"289","tops","positive",12
"290","tragedy","negative",12
"291","uncertain","negative",12
"292","awesome","positive",11
"293","chaos","negative",11
"294","cloud","negative",11
"295","cold","negative",11
"296","compassion","positive",11
"297","concern","negative",11
"298","confused","negative",11
"299","crazy","negative",11
"300","dedicated","positive",11
"301","destruction","negative",11
"302","devastating","negative",11
"303","falls","negative",11
"304","fans","positive",11
"305","fascinating","positive",11
"306","favorite","positive",11
"307","fever","negative",11
"308","hang","negative",11
"309","helped","positive",11
"310","ignore","negative",11
"311","impossible","negative",11
"312","inept","negative",11
"313","isolated","negative",11
"314","leads","positive",11
"315","lovely","positive",11
"316","popular","positive",11
"317","recommendations","positive",11
"318","refuses","negative",11
"319","syndrome","negative",11
"320","tragic","negative",11
"321","advocates","positive",10
"322","aggressive","negative",10
"323","bless","positive",10
"324","blow","negative",10
"325","challenging","negative",10
"326","confusion","negative",10
"327","conservative","negative",10
"328","cool","positive",10
"329","disruption","negative",10
"330","farce","negative",10
"331","flexibility","positive",10
"332","plague","negative",10
"333","properly","positive",10
"334","pure","positive",10
"335","scary","negative",10
"336","secure","positive",10
