date;world_risk_index
2020-01-22;0.40613
2020-01-23;0.33325
2020-01-24;0.27864
2020-01-25;0.30674
2020-01-26;0.28632
2020-01-27;0.24662
2020-01-28;0.27404
2020-01-29;0.26477
2020-01-30;0.2669
2020-01-31;0.28528
2020-02-01;0.34353
2020-02-02;0.27932
2020-02-03;0.2179
2020-02-04;0.28482
2020-02-05;0.23555
2020-02-06;0.32914
2020-02-07;0.29409
2020-02-08;0.27182
2020-02-09;0.31106
2020-02-10;0.35554
2020-02-11;0.2471
2020-02-12;0.26306
2020-02-13;0.27121
2020-02-14;0.29843
2020-02-15;0.22492
2020-02-16;0.26762
2020-02-17;0.3252
2020-02-18;0.30491
2020-02-19;0.32525
2020-02-20;0.29515
2020-02-21;0.26622
2020-02-22;0.28217
2020-02-23;0.28408
2020-02-24;0.2005
2020-02-25;0.28928
2020-02-26;0.25409
2020-02-27;0.28215
2020-02-28;0.28503
2020-02-29;0.3132
2020-03-01;0.2459
2020-03-02;0.24995
2020-03-03;0.28569
2020-03-04;0.3168
2020-03-05;0.28395
2020-03-06;0.23739
2020-03-07;0.25297
2020-03-08;0.22874
2020-03-09;0.20209
2020-03-10;0.1992
